component_id,name,family,scope,html_selector,js_module,states,responsive_behavior,accessibility,figma_page,sitecore_rendering,status
G-001,Global Header,Global shell,Global,.moxa-global-header,assets/js/moxa-shell.js,"default;scrolled;menu-open;mobile","two-row desktop;compact mobile","landmark;keyboard nav;Escape/outside-click/scroll close","12 — Navigation / Header, Mega Menu & Breadcrumb",Global Header,Approved PoC
G-002,Brand Logo,Global shell,Global,.moxa-brand,assets/js/moxa-shell.js,"default;focus","fixed desktop;scaled mobile","descriptive accessible name","12 — Navigation / Header, Mega Menu & Breadcrumb",Brand,Approved PoC
G-003,Header Search,Global shell,Global,.moxa-search,assets/js/moxa-shell.js,"default;focus;filled","fluid center column;full mobile row","label;focus ring;submit semantics","11 — Inputs / Search, Text, Select & Consent",Global Search,Approved PoC
G-004,Ask AI Toggle,Global shell,Global,#moxaAiMode,assets/js/moxa-shell.js,"default;hover;focus;pressed","fixed-height;label retained","button;aria-pressed;visible focus","20 — AI / Ask AI and Moxa Advisor",Ask AI Toggle,Approved PoC
G-005,Utility Links,Global shell,Global,.moxa-utility-links,assets/js/moxa-shell.js,"default;hover;focus","reduced set on compact","descriptive link text","12 — Navigation / Header, Mega Menu & Breadcrumb",Utility Navigation,Approved PoC
G-006,Primary Navigation,Global shell,Global,.moxa-mainnav,assets/js/moxa-shell.js,"default;hover;focus;expanded","horizontal desktop;mobile menu","menubar semantics;keyboard access","12 — Navigation / Header, Mega Menu & Breadcrumb",Primary Navigation,Approved PoC
G-007,Mega Menu,Global shell,Global,.moxa-mega,assets/js/moxa-shell.js,"closed;open;focus-within","contained desktop;stacked mobile","Escape/outside-click/scroll close;focus order","12 — Navigation / Header, Mega Menu & Breadcrumb",Mega Menu,Approved PoC
G-008,Header Contact CTA,Global shell,Global,.moxa-header-action,assets/js/moxa-shell.js,"default;hover;focus","right aligned;full-width mobile","44px target;white label on teal","10 — Actions / Button & Link",Header Contact Action,Approved PoC
G-009,Breadcrumb,Global shell,Global,.moxa-breadcrumb,assets/js/moxa-shell.js,"default;hover;focus;current","horizontal scroll on compact","nav label;current page;clickable ancestors","12 — Navigation / Header, Mega Menu & Breadcrumb",Breadcrumb,Approved PoC
G-010,Global Footer,Global shell,Global,.moxa-global-footer,assets/js/moxa-shell.js,"default","compact two-zone desktop;stacked mobile","footer landmark;logical focus order","19 — Conversion / CTA, Lead Form & Footer",Global Footer,Approved PoC
