"Page class","Route","Recommended Sitecore page template","Primary reusable components","Content/data notes"
"Homepage","homepage.html","Home Page","Global Header; Home Hero; Campaign Pop-up; AI-guided Search; Floating Section Navigator; Explore Card Grid; Featured Product; Trending Content Grid; Connectivity Metrics; Global Footer","Hero variants, campaign schedule, cards, metrics, and audience state should be datasource-driven."
"Search Results","search.html","Search Results Page","Global Header; Search Summary; Facet Filters; Result Group; Result Card; Empty State; Global Footer","Connect query, counts, facets, ranking, thumbnails, and result routing to Sitecore Search."
"Product Series","product-series-eds-4008.html","Product Series Page","Series Hero; Anchor Navigation; Popular Configurations; Model Finder; Model Row; Resource Cards; Application Cards; CTA Band","Use structured model and specification data; preserve finder filters and compare selection."
"Campaign","campaign.html","Campaign Landing Page","Campaign Hero; Sticky Section Navigation; Accordion; Key-value Media; Architecture Selector; Management Section; Product Portfolio; Lead Capture","Use the shared lead form and manage campaign assets, schedule, and destination as content."
"Microsite","microsite.html","Microsite Landing Page","Compact Microsite Hero; Portfolio Metrics; Sticky Anchor Navigation; Video Modal; Why Moxa Tabs; Feature Rows; Reliability Cards; Product Cards; Brochure Viewer; Application Cards; Selection Guide; Lead Capture","Use client-supplied media and the shared Campaign/Microsite lead-form schema."
"Video","video.html","Video Detail and Library Page","Breadcrumb; Video Hero; Featured Player; Series Playlist; Video Filters; Video Card Grid; Related CTA","Integrate video host IDs, thumbnails, duration, taxonomy, transcript, and captions."
"Product Category","product-category-ethernet-switches.html","Product Category Page","Category Hero; Selection Guide; Filter Controls; Product Family Grid; Comparison CTA; Resource Cards","Keep category content and template separate from series and model pages."
"Product Model","eds-4008-lv.html","Product Model Page","Model Hero; Gallery; Specification Summary; Downloads; Related Models; Quote CTA","LV is one datasource instance of the reusable Product Model template."
"Product Model","eds-4008-hv.html","Product Model Page","Model Hero; Gallery; Specification Summary; Downloads; Related Models; Quote CTA","HV is one datasource instance of the reusable Product Model template."
"Product Series","nport-5100-series.html","Product Series Page","Series Hero; Anchor Navigation; Model Grid; Features; Resources; CTA","Reuse the Product Series template with configurable components and a different datasource."
"Manual","manual.html","Technical Manual Page","Breadcrumb; Compact Manual Header; Manual Search; Table of Contents; Section Navigation; Document Body; Download CTA","Map HXML hierarchy to structured content and preserve stable anchors."
"AI Comparison","compare-lv-hv.html","AI Comparison Experience Page","Conversation Shell; Prompt; Assistant Message; Specification Table; Source Links; Follow-up Prompts","Production requires grounded retrieval, citation validation, safety, and observability."
"Article","article.html","Article Page","Article Hero; Table of Contents; Video; FAQ Accordion; Five-point Feedback; Related Article Carousel","Preserve source body, accessible in-page media, structured FAQ, feedback values, one-card carousel movement, and analytics. The 360 viewer is embedded in the EDS-4008 Series page."
