mapping_id,figma_pattern,current_implementation,sitecore_rendering,datasource_template,authoring_fields,behavior_owner,analytics_events
SC-001,Global Header,.moxa-global-header,Global Header,Global Header Configuration,"logo; search placeholder; Ask AI label; utility links; nav groups; contact CTA",moxa-shell.js,"header_search_submit; ask_ai_toggle; primary_nav_open"
SC-002,Mega Menu,.moxa-mega,Mega Menu,Navigation Group,"intro; category cards; links; guide CTA",moxa-shell.js,"mega_menu_open; mega_link_click"
SC-003,Breadcrumb,.moxa-breadcrumb,Breadcrumb,Breadcrumb Configuration,"display-name overrides; root label",Sitecore hierarchy,"breadcrumb_click"
SC-004,Global Footer,.moxa-global-footer,Global Footer,Global Footer Configuration,"social links; subscription copy; legal links; locale options",moxa-shell.js,"social_click; subscribe_submit; locale_change"
SC-005,Moxa Advisor,.moxa-advisor-panel,Moxa Advisor,Advisor Configuration,"welcome copy; quick actions; bot identity; handoff links",AI integration service,"advisor_open; advisor_prompt; advisor_handoff"
SC-006,Hero Family,.hero,Hero,Hero Content,"eyebrow; title; description; image; image alt; CTA set; theme; alignment",rendering parameters,"hero_cta_click"
SC-007,Section Header,.sec-head,Section Header,Section Header,"eyebrow; title; description; alignment; theme",none,"section_view"
SC-008,Button and CTA,.btn,CTA Set,CTA Set,"label; destination; style; target; analytics label",none,"cta_click"
SC-009,Product Card,.product-card,Product Card,Product Reference,"name; summary; image; badges; specifications; destination",product data service,"product_card_click"
SC-010,Resource Card,.resource-card,Resource Card,Resource,"type; title; summary; thumbnail; file/link; metadata",resource service,"resource_open; resource_download"
SC-011,Application Card,.rio-application-grid article,Application Card,Application Story,"title; summary; image; image alt; industry; destination",none,"application_card_click"
SC-012,Video Card,.video-card,Video Card,Video Item,"title; summary; thumbnail; duration; category; video URL",video service,"video_select; video_play"
SC-013,Metric Card,.connectivity-stat,Metric,Metric,"value; suffix; label; source; animation enabled",moxa-shell.js,"metric_view"
SC-014,Anchor Navigation,.series-a-anchor,Anchor Navigation,Anchor Navigation Configuration,"anchor labels; target IDs; optional CTAs",scroll observer,"anchor_click"
SC-015,Floating Navigator,.section-rail,Floating Section Navigator,Section Navigation Configuration,"section labels; target IDs; initial section",scroll observer,"section_nav_click"
SC-016,Tabs,[role=tablist],Tabs,Tab Collection,"tab labels; tab panels; default tab",page interaction module,"tab_change"
SC-017,Accordion,.accordion-item,Accordion,Accordion Collection,"title; body; optional image; default-open",page interaction module,"accordion_toggle"
SC-018,Modal,.rio-modal,Modal Viewer,Modal Configuration,"title; body/media; close label; trigger label",microsite-remote-io.js,"modal_open; modal_close"
SC-019,Search Summary,.search-summary,Search Summary,Search Query Context,"query; result count; active facets; sort",Sitecore Search,"search_results_view"
SC-020,Facet Filter,.search-filters,Facet Filter,Search Facet Configuration,"facet labels; values; counts; ordering",Sitecore Search,"facet_change"
SC-021,Search Result Card,.result-card,Search Result Card,Search Result,"type; title; summary; thumbnail; metadata; destination; rank",Sitecore Search,"search_result_click"
SC-022,Product Family Selector,.family-card,Product Family Selector,Product Family,"name; summary; image; categories; destination",product data service,"family_select"
SC-023,Model Row,.series-a-model-row,Product Model Row,Product Model,"model name; power; ports; temperature; certifications; destination",product data service,"model_select"
SC-024,Specification Table,.spec-table,Specification Table,Specification Collection,"groups; rows; labels; values; notes",product data service,"specification_view"
SC-025,Comparison Table,.compare-table,Comparison Table,Comparison Dataset,"models; attributes; values; difference flags; sources",product data service,"compare_view; compare_source_click"
SC-026,Video Player,.video-player,Video Player,Video Item,"poster; video URL; captions URL; title; duration",video service,"video_play; video_complete"
SC-027,360 Viewer,.viewer-controls,Product 360 Viewer,Product Media Set,"frame list; fallback image; alt text; initial frame; controls",product media module,"viewer_drag; viewer_rotate; viewer_frame"
SC-028,Lead Capture,.moxa-lead-layout,Lead Capture,Lead Form Configuration,"service copy; first name; email; company; industry; country; project details; consent",moxa-lead-form.js plus CRM service,"lead_start; lead_error; lead_submit; lead_success"
SC-029,Manual Search,.manual-search-input,Manual Search,Manual Metadata,"placeholder; index scope; zero-result copy",manual search module,"manual_search; manual_result_click"
SC-030,AI Conversation,.compare-message,AI Comparison Response,AI Prompt and Response,"prompt; summary; table; sources; follow-ups; disclosure",governed AI service,"ai_prompt; ai_source_click; ai_followup"
